OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover
FOTU_5075,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5076,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,unidentified,unidentified,unidentified,0,0
FOTU_5077,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5078,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5079,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5080,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5081,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5082,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Peniophorella,Peniophorella odontiiformis ,unidentified,0,0
FOTU_5083,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Acremonium,unidentified,unidentified,0,0
FOTU_5084,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5085,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5086,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5087,Fungi,Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Conidiobolus,Conidiobolus coronatus ,unidentified,0,0
FOTU_5088,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Phialoseptomonium,Phialoseptomonium eucalypti ,"Fungi-CCHF44,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_rosea",83.556,100
FOTU_5089,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5090,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5091,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,unidentified,unidentified,0,0
FOTU_5092,Fungi,Glomeromycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5093,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified,"Fungi-ZANF71,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria",84.431,75
FOTU_5094,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5095,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5096,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,unidentified,unidentified,0,0
FOTU_5097,Ichthyosporia,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5098,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,unidentified,unidentified,0,0
FOTU_5099,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Racocetraceae,Cetraspora,unidentified,unidentified,0,0
FOTU_5100,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Scutellosporaceae,Scutellospora,unidentified,unidentified,0,0
FOTU_5101,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Galerina,Galerina sideroides ,unidentified,0,0
FOTU_5102,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5103,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5104,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5105,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5106,Rhizaria,Cercozoa,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5107,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,unidentified,unidentified,"Fungi-ZANF81,p__Ascomycota,c__Dothideomycetes,o__Pleosporales",96.517,90
FOTU_5108,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5109,Metazoa,unidentified,Anthozoa,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
FOTU_5110,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,0,0
